,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.011582398787140846, 0.01114706788212061, 0.9772705435752869)","(0.0, 0.0, 1.0)","(0.99279726, 0.06237721)","(0.9935542, 0.055822648)","(0.9931808, 0.059055954)","(0.69322306, 0.34253585)","(0.2857619, 0.24370034)","(0.9931808, 0.059055954)","(0.9931808, 0.059055954)","(0.9931808, 0.059055954)"
1,"(0.680772602558136, 0.3072734475135803, 0.01195400021970272)","(0.0, 0.25, 0.75)","(0.6332329, 0.3429519)","(0.64176446, 0.3408871)","(0.58783746, 0.37479496)","(0.6712789, 0.3535302)","(0.38445914, 0.28164795)","(0.58687544, 0.37598622)","(0.6049447, 0.35930774)","(0.52443427, 0.27118346)"
2,"(0.5124002695083618, 0.4783281981945038, 0.009271519258618355)","(0.0, 0.5, 0.5)","(0.46698388, 0.34124175)","(0.49943566, 0.33373564)","(0.40366942, 0.36677048)","(0.4945094, 0.35231826)","(0.5078937, 0.30452234)","(0.39586544, 0.3603631)","(0.45562163, 0.34357917)","(0.45001563, 0.21645303)"
3,"(0.2815394997596741, 0.7072862982749939, 0.011174187995493412)","(0.0, 0.75, 0.25)","(0.33589688, 0.33539507)","(0.37499046, 0.32743922)","(0.28731582, 0.35347497)","(0.36431098, 0.337135)","(0.6980337, 0.2881372)","(0.2870613, 0.34936348)","(0.35041994, 0.3304874)","(0.60965055, 0.24295506)"
4,"(0.0032893852330744267, 0.9943851232528687, 0.0023255168925970793)","(0.0, 1.0, 0.0)","(0.9581316, 0.15212533)","(0.95798373, 0.15264072)","(0.95716506, 0.15673178)","(0.24758753, 0.26063284)","(0.95798373, 0.15264072)","(0.1532265, 0.21996467)","(0.95798373, 0.15264072)","(0.95798373, 0.15264072)"
5,"(0.3125540614128113, 0.12261566519737244, 0.5648302435874939)","(0.25, 0.0, 0.75)","(0.90872633, 0.21847002)","(0.90436536, 0.22697277)","(0.9052259, 0.22195473)","(0.75837255, 0.3199654)","(0.28595743, 0.23335564)","(0.90568805, 0.22082178)","(0.9062743, 0.22024766)","(0.8666326, 0.19587979)"
6,"(0.7217391133308411, 0.274302214384079, 0.00395860755816102)","(0.25, 0.25, 0.5)","(0.6543625, 0.3320487)","(0.6652582, 0.328734)","(0.61049265, 0.36734813)","(0.71401256, 0.3509263)","(0.3824629, 0.2877037)","(0.60780203, 0.37075153)","(0.63894075, 0.34176645)","(0.5714823, 0.2675861)"
7,"(0.5444930195808411, 0.448181688785553, 0.007325228303670883)","(0.25, 0.5, 0.25)","(0.49858385, 0.3471353)","(0.5301328, 0.33711618)","(0.4383131, 0.3812156)","(0.51752573, 0.35794124)","(0.4890481, 0.2931399)","(0.42004022, 0.36893755)","(0.502038, 0.34553608)","(0.463508, 0.22093019)"
8,"(0.3274773061275482, 0.6644787788391113, 0.008043920621275902)","(0.25, 0.75, 0.0)","(0.9659243, 0.16843535)","(0.9675839, 0.16023412)","(0.96512264, 0.17266127)","(0.3755567, 0.33628744)","(0.6948466, 0.28884158)","(0.29528615, 0.34754387)","(0.96708137, 0.16270956)","(0.62016946, 0.23644081)"
9,"(0.6085922718048096, 0.06905514746904373, 0.3223525881767273)","(0.5, 0.0, 0.5)","(0.8917627, 0.23361593)","(0.88455874, 0.25084633)","(0.88647974, 0.23840834)","(0.84094733, 0.2836043)","(0.29072475, 0.25017348)","(0.8217862, 0.28467774)","(0.88954467, 0.23392333)","(0.82169163, 0.2129284)"
10,"(0.7422652840614319, 0.2546698749065399, 0.0030648810788989067)","(0.5, 0.25, 0.25)","(0.7180513, 0.32460803)","(0.7266984, 0.32314324)","(0.67808664, 0.36482796)","(0.7437165, 0.34167662)","(0.37356797, 0.2911188)","(0.63981134, 0.36768863)","(0.7132023, 0.32855457)","(0.61358166, 0.24319151)"
11,"(0.5238299369812012, 0.4707726836204529, 0.005397418513894081)","(0.5, 0.5, 0.0)","(0.83944374, 0.2724209)","(0.8518847, 0.25215867)","(0.8205975, 0.3079983)","(0.4945094, 0.35231826)","(0.5078937, 0.30452234)","(0.39586544, 0.3603631)","(0.84652036, 0.26003292)","(0.48914874, 0.23861685)"
12,"(0.728286623954773, 0.05036165937781334, 0.22135169804096222)","(0.75, 0.0, 0.25)","(0.89478844, 0.2271032)","(0.8957009, 0.2257355)","(0.8817815, 0.24692908)","(0.895899, 0.23465213)","(0.2855556, 0.25016916)","(0.7694278, 0.31557888)","(0.892165, 0.23049653)","(0.86842334, 0.19556852)"
13,"(0.6966024041175842, 0.30115750432014465, 0.0022400885354727507)","(0.75, 0.25, 0.0)","(0.78828895, 0.3024269)","(0.7982803, 0.28663716)","(0.7669429, 0.3424968)","(0.6655533, 0.355926)","(0.38710093, 0.2802003)","(0.5814303, 0.37680152)","(0.79140115, 0.29694715)","(0.5870505, 0.27669603)"
14,"(0.9195647239685059, 0.02128434181213379, 0.059150923043489456)","(1.0, 0.0, 0.0)","(0.9925731, 0.06431882)","(0.99280185, 0.06233773)","(0.9901703, 0.085127175)","(0.9925731, 0.06431882)","(0.29219407, 0.26297414)","(0.7009743, 0.337158)","(0.9925731, 0.06431882)","(0.9925731, 0.06431882)"
